t,L,R
1764809772.4685395,66,105
1764809772.4948306,65,102
1764809772.5209594,66,102
1764809772.547246,66,102
1764809772.5733385,66,102
1764809772.5995286,65,102
1764809772.6256948,65,101
1764809772.6517756,65,102
1764809772.677939,65,100
1764809772.7040513,65,101
1764809772.7301538,66,102
1764809772.7562437,65,101
1764809772.7823672,66,102
1764809772.808508,66,102
1764809772.8346205,65,101
1764809772.860873,65,101
1764809772.8870432,65,100
1764809772.9131498,66,101
1764809772.9392502,65,100
1764809772.9653513,65,100
1764809772.9915018,66,101
1764809773.0176277,66,102
1764809773.043874,66,102
1764809773.0699894,66,102
1764809773.0961359,66,102
1764809773.1222382,65,101
1764809773.148348,65,101
1764809773.1744838,66,102
1764809773.200627,66,102
1764809773.226764,65,101
1764809773.2528746,66,102
1764809773.278972,66,102
1764809773.3051283,66,102
1764809773.331229,66,102
1764809773.3573382,66,102
1764809773.3834667,66,102
1764809773.4096017,65,101
1764809773.4357398,66,102
1764809773.4619155,65,101
1764809773.488242,66,102
