t,L,R
1764809757.8425791,88,119
1764809757.8687024,88,126
1764809757.8948214,88,127
1764809757.9208136,88,127
1764809757.9469292,88,127
1764809757.9729183,88,128
1764809757.998966,88,127
1764809758.0249488,88,128
1764809758.051044,88,127
1764809758.0770433,88,127
1764809758.103016,88,128
1764809758.1289864,88,128
1764809758.1549578,89,130
1764809758.1809268,88,128
1764809758.206941,88,128
1764809758.2329152,89,130
1764809758.258888,88,128
1764809758.2848601,88,129
1764809758.310828,88,127
1764809758.3368006,88,129
1764809758.3627958,88,127
1764809758.3887987,88,128
1764809758.4147778,88,128
1764809758.440747,88,128
1764809758.466717,88,127
1764809758.4926865,88,127
1764809758.518657,88,128
1764809758.5446234,88,127
1764809758.5706053,88,128
1764809758.59661,88,127
1764809758.6225848,89,130
1764809758.648554,88,128
1764809758.674528,88,128
1764809758.7004979,89,130
1764809758.7264676,88,128
1764809758.7524443,89,130
1764809758.778419,88,128
1764809758.8044505,88,128
1764809758.8305495,88,128
1764809758.8576162,88,128
