t,L,R
1764809741.3134003,72,103
1764809741.3395605,72,113
1764809741.3656583,72,115
1764809741.391653,71,114
1764809741.4177508,72,116
1764809741.4438536,72,116
1764809741.4699535,72,115
1764809741.4959342,72,116
1764809741.5219064,72,116
1764809741.5479226,72,116
1764809741.5739424,72,115
1764809741.5999193,72,116
1764809741.6259067,72,115
1764809741.6518867,72,116
1764809741.67789,72,116
1764809741.7039971,72,115
1764809741.730032,72,116
1764809741.7560282,72,115
1764809741.7820363,72,116
1764809741.8080158,72,116
1764809741.8340845,72,116
1764809741.8600636,72,115
1764809741.8860338,72,116
1764809741.9120085,72,116
1764809741.9379742,72,116
1764809741.963989,72,116
1764809741.989964,72,115
1764809742.0159404,72,116
1764809742.0420268,72,115
1764809742.0680106,72,116
1764809742.093979,72,116
1764809742.1201859,72,115
1764809742.1464689,72,116
1764809742.172742,72,115
1764809742.198927,72,115
1764809742.2249303,72,116
1764809742.250904,72,116
1764809742.2769659,72,116
1764809742.3029459,72,116
1764809742.328919,72,116
