t,L,R
1764809778.674765,92,133
1764809778.7012959,92,140
1764809778.727655,92,142
1764809778.7539098,92,143
1764809778.7800028,93,143
1764809778.8060787,92,142
1764809778.8322399,92,142
1764809778.858489,92,143
1764809778.884612,93,143
1764809778.9107275,93,143
1764809778.93688,93,143
1764809778.9629784,92,142
1764809778.9890792,92,143
1764809779.0152168,92,142
1764809779.0414813,92,142
1764809779.0675926,92,143
1764809779.0939186,92,142
1764809779.1202462,92,142
1764809779.1465628,92,143
1764809779.1728141,92,142
1764809779.198956,92,142
1764809779.225066,92,141
1764809779.2512748,92,142
1764809779.2773492,92,142
1764809779.3034317,92,142
1764809779.329501,92,143
1764809779.3556583,92,142
1764809779.381758,92,143
1764809779.4078672,92,142
1764809779.433986,92,142
1764809779.4602432,93,143
1764809779.4863524,92,144
1764809779.5124567,92,142
1764809779.5385628,92,143
1764809779.564683,93,142
1764809779.5908616,92,143
1764809779.6171308,92,143
1764809779.6432471,93,143
1764809779.6694245,93,143
1764809779.6956973,93,143
