t,L,R
1764812246.9986324,83,110
1764812247.0249197,83,116
1764812247.0511625,84,117
1764812247.0773947,84,118
1764812247.1035182,84,118
1764812247.1297333,83,118
1764812247.155822,84,118
1764812247.1820025,84,118
1764812247.208085,84,118
1764812247.2342486,84,118
1764812247.2603543,84,117
1764812247.2864733,84,118
1764812247.312574,83,118
1764812247.3386927,84,118
1764812247.3647935,84,118
1764812247.391016,83,117
1764812247.4171822,83,117
1764812247.4433455,84,118
1764812247.469454,83,117
1764812247.495557,84,117
1764812247.521826,83,117
1764812247.5481224,83,117
1764812247.5743694,84,118
1764812247.6004992,84,118
1764812247.6266024,84,118
1764812247.6527634,84,118
1764812247.6789656,84,118
1764812247.7050855,84,118
1764812247.7311983,83,117
1764812247.7573166,83,116
1764812247.783553,83,117
1764812247.8097274,83,117
1764812247.8358376,83,118
1764812247.8619497,83,117
1764812247.8880553,84,118
1764812247.9141695,84,118
1764812247.940303,83,117
1764812247.9664652,83,117
1764812247.9926295,83,116
1764812248.0190592,83,116
