t,L,R
1764809763.8870118,108,140
1764809763.9132874,108,147
1764809763.9397058,108,150
1764809763.9659517,108,150
1764809763.9920368,108,149
1764809764.018178,108,149
1764809764.0444396,108,150
1764809764.070558,108,151
1764809764.0966687,108,150
1764809764.1227782,108,150
1764809764.148892,108,150
1764809764.1752791,108,149
1764809764.2025676,108,149
1764809764.2288733,108,150
1764809764.2549865,108,150
1764809764.2810583,108,149
1764809764.3071291,108,150
1764809764.3332002,108,149
1764809764.3593452,108,150
1764809764.3854423,108,150
1764809764.411601,108,149
1764809764.437711,108,149
1764809764.4638608,108,150
1764809764.489966,108,149
1764809764.5160658,108,150
1764809764.5421696,108,149
1764809764.5682948,108,150
1764809764.594398,108,150
1764809764.6206634,108,150
1764809764.6467817,108,150
1764809764.672941,108,150
1764809764.6990604,108,150
1764809764.7251632,108,149
1764809764.7512746,108,150
1764809764.777412,108,150
1764809764.8035572,108,150
1764809764.82966,108,149
1764809764.8558705,108,150
1764809764.882035,108,151
1764809764.9084682,108,149
