t,L,R
1764812253.7531524,123,147
1764812253.779392,123,155
1764812253.8055093,123,157
1764812253.831628,124,158
1764812253.857605,124,158
1764812253.8835912,123,157
1764812253.9095662,124,158
1764812253.9355524,124,159
1764812253.9615762,123,157
1764812253.9876122,124,159
1764812254.013589,124,158
1764812254.0396793,124,159
1764812254.065669,124,159
1764812254.0916398,124,159
1764812254.1176052,124,160
1764812254.1435766,124,159
1764812254.169547,124,159
1764812254.195579,125,161
1764812254.2215557,125,162
1764812254.247524,125,162
1764812254.2735107,125,162
1764812254.299482,125,162
1764812254.3254821,124,159
1764812254.3514543,125,162
1764812254.3774278,124,159
1764812254.4034503,124,159
1764812254.4294252,124,159
1764812254.4553974,124,159
1764812254.4813657,124,159
1764812254.5073352,124,159
1764812254.533423,124,159
1764812254.5594032,124,159
1764812254.585445,124,159
1764812254.6114266,124,158
1764812254.6374004,124,159
1764812254.663371,124,158
1764812254.6893713,124,159
1764812254.715346,124,159
1764812254.7413144,124,159
1764812254.7672818,124,159
