t,L,R
1764812238.2875695,77,122
1764812238.313704,78,130
1764812238.3396854,78,132
1764812238.365805,78,131
1764812238.3917842,78,131
1764812238.417761,78,132
1764812238.443736,77,129
1764812238.4697075,78,131
1764812238.4956856,77,129
1764812238.521829,77,129
1764812238.5478153,78,131
1764812238.5738277,77,129
1764812238.599801,77,129
1764812238.6257706,77,129
1764812238.6517408,77,129
1764812238.6777272,77,129
1764812238.703698,78,131
1764812238.729671,77,129
1764812238.7556405,77,129
1764812238.7816515,77,129
1764812238.8076336,78,131
1764812238.8336048,78,131
1764812238.8595734,78,132
1764812238.8855424,78,132
1764812238.911511,78,131
1764812238.9374838,78,132
1764812238.9634798,78,131
1764812238.9894478,77,129
1764812239.015433,77,129
1764812239.0415516,77,129
1764812239.0675528,78,131
1764812239.0935261,78,131
1764812239.119498,77,130
1764812239.1454728,77,129
1764812239.1714666,77,129
1764812239.1974413,77,129
1764812239.2234225,77,129
1764812239.2493951,78,131
1764812239.275364,77,129
1764812239.3015141,77,129
