t,L,R
1764816009.3861597,88,114
1764816009.4122639,88,125
1764816009.43832,88,127
1764816009.4644165,89,130
1764816009.4904075,89,130
1764816009.5163906,89,130
1764816009.5424883,89,130
1764816009.5684738,88,128
1764816009.5945218,89,131
1764816009.6205018,88,128
1764816009.646476,89,130
1764816009.6724496,88,129
1764816009.6984398,88,128
1764816009.7244155,88,128
1764816009.7504008,88,127
1764816009.7763984,88,128
1764816009.802378,88,128
1764816009.8283496,88,128
1764816009.854322,88,127
1764816009.8802931,88,127
1764816009.9063962,88,127
1764816009.9323802,88,127
1764816009.9585965,88,129
1764816009.984749,89,130
1764816010.010741,88,128
1764816010.0368757,88,128
1764816010.0629098,89,130
1764816010.088895,88,129
1764816010.1148925,89,130
1764816010.1408634,88,128
1764816010.166834,89,130
1764816010.1928287,89,131
1764816010.218973,88,128
1764816010.2451315,88,128
1764816010.2715073,88,127
1764816010.2977657,88,127
1764816010.3239,88,127
1764816010.3498836,88,127
1764816010.3759575,88,128
1764816010.4019406,88,127
