t,L,R
1764812299.147887,237,220
1764812299.174182,237,230
1764812299.2004142,238,235
1764812299.226515,238,234
1764812299.25274,238,234
1764812299.2789464,238,234
1764812299.305133,238,234
1764812299.3312647,237,231
1764812299.357375,239,237
1764812299.3834906,238,233
1764812299.4096425,238,234
1764812299.435879,238,234
1764812299.4620738,238,234
1764812299.4881852,238,234
1764812299.5143375,238,233
1764812299.5405788,238,234
1764812299.5667164,239,236
1764812299.5928283,237,232
1764812299.618993,237,232
1764812299.6451123,239,236
1764812299.6713102,238,235
1764812299.6974356,238,234
1764812299.7235448,238,235
1764812299.7496476,238,234
1764812299.7757492,237,232
1764812299.801851,238,233
1764812299.827963,237,232
1764812299.8541067,237,231
1764812299.8802667,238,233
1764812299.9063745,237,232
1764812299.9325325,237,232
1764812299.958646,237,232
1764812299.984867,237,232
1764812300.0109906,237,233
1764812300.0373304,238,234
1764812300.063655,237,232
1764812300.0897768,237,232
1764812300.1160593,237,232
1764812300.1421776,237,232
1764812300.1720989,237,231
