t,L,R
1764809825.294471,226,198
1764809825.3206034,226,207
1764809825.3465867,226,210
1764809825.3726797,226,209
1764809825.3986592,226,210
1764809825.4246354,226,210
1764809825.4506044,226,209
1764809825.4765751,226,208
1764809825.5026438,226,209
1764809825.5286255,225,206
1764809825.5545955,226,209
1764809825.5805726,226,208
1764809825.606544,226,209
1764809825.6325696,225,206
1764809825.658556,226,208
1764809825.684571,225,207
1764809825.7105467,226,209
1764809825.7365253,225,206
1764809825.7624953,226,207
1764809825.7884707,226,209
1764809825.8144584,226,208
1764809825.8404288,225,206
1764809825.8669026,226,208
1764809825.8930354,225,206
1764809825.9190166,226,208
1764809825.9450014,225,205
1764809825.9709754,226,208
1764809825.9969437,226,208
1764809826.022929,225,207
1764809826.0490136,225,204
1764809826.0749922,225,206
1764809826.1012654,225,205
1764809826.1274161,225,205
1764809826.1534083,225,206
1764809826.1793854,225,205
1764809826.2053561,226,208
1764809826.2313411,225,206
1764809826.2574425,225,207
1764809826.2836084,225,205
1764809826.3099744,225,207
