t,L,R
1764809800.0017953,173,190
1764809800.027928,174,199
1764809800.054026,174,201
1764809800.0802336,174,200
1764809800.106237,174,201
1764809800.1322186,174,202
1764809800.1583612,174,202
1764809800.184484,175,202
1764809800.2105901,175,202
1764809800.2367082,176,176
1764809800.2629392,175,202
1764809800.2890468,175,204
1764809800.3151507,176,178
1764809800.3412526,175,201
1764809800.3675525,176,176
1764809800.3936696,175,201
1764809800.4197676,176,176
1764809800.4459233,175,202
1764809800.4720862,175,204
1764809800.498201,175,204
1764809800.5243092,175,204
1764809800.5504138,175,202
1764809800.576606,175,202
1764809800.6027176,175,202
1764809800.6288195,175,203
1764809800.654966,175,203
1764809800.6811244,175,202
1764809800.707228,175,202
1764809800.7333379,175,203
1764809800.7594662,176,178
1764809800.7855935,176,175
1764809800.8116894,177,175
1764809800.8377955,177,178
1764809800.8640924,177,177
1764809800.8902647,177,178
1764809800.9163651,177,178
1764809800.9424691,178,180
1764809800.9685762,177,178
1764809800.9946852,178,182
1764809801.0210009,177,178
