t,L,R
1764809818.5026388,106,147
1764809818.5290453,106,148
1764809818.5553794,106,150
1764809818.5815876,106,148
1764809818.6076744,106,148
1764809818.633757,106,147
1764809818.6599157,106,146
1764809818.686115,105,146
1764809818.7122414,106,146
1764809818.7383428,105,147
1764809818.7644963,105,147
1764809818.7905955,106,149
1764809818.8166976,106,150
1764809818.842803,107,150
1764809818.8690825,107,151
1764809818.8952413,107,152
1764809818.9213557,107,153
1764809818.947612,108,152
1764809818.9737132,107,153
1764809818.999819,108,153
1764809819.0259356,107,152
1764809819.0522237,107,151
1764809819.078385,107,150
1764809819.1045022,107,150
1764809819.130616,107,150
1764809819.156721,106,149
1764809819.1828318,106,148
1764809819.2089365,106,148
1764809819.235032,106,147
1764809819.2611294,105,147
1764809819.2872488,106,147
1764809819.3133507,106,146
1764809819.3394682,105,148
1764809819.3655627,105,146
1764809819.391667,106,147
1764809819.4177666,106,147
1764809819.4438622,106,147
1764809819.469969,106,147
1764809819.4962661,105,147
1764809819.522405,106,148
