t,L,R
1764812304.935542,215,203
1764812304.961726,215,207
1764812304.9877899,216,209
1764812305.0139027,216,209
1764812305.0399933,216,209
1764812305.0659912,216,209
1764812305.0920322,216,209
1764812305.1180105,217,211
1764812305.1439772,216,209
1764812305.1699536,216,209
1764812305.1959221,216,209
1764812305.221892,216,209
1764812305.247923,216,209
1764812305.274092,216,209
1764812305.3002167,216,208
1764812305.326317,216,209
1764812305.3524492,215,209
1764812305.378548,216,209
1764812305.4046524,216,209
1764812305.4307485,216,209
1764812305.4569306,216,209
1764812305.483099,216,208
1764812305.509209,216,209
1764812305.5353365,216,208
1764812305.561587,216,209
1764812305.5877254,216,209
1764812305.6138265,216,209
1764812305.6400232,216,209
1764812305.6661873,216,209
1764812305.6923702,216,209
1764812305.7184844,216,209
1764812305.7445958,216,209
1764812305.770713,215,208
1764812305.7968261,215,208
1764812305.8229735,215,208
1764812305.8491302,215,208
1764812305.8753643,215,208
1764812305.901484,215,208
1764812305.9275818,215,208
1764812305.9541845,215,207
