t,L,R
1764809810.76629,215,206
1764809810.7924173,216,212
1764809810.8185096,215,215
1764809810.8446054,216,216
1764809810.8707113,216,215
1764809810.8967142,216,216
1764809810.9226892,216,213
1764809810.9486613,216,213
1764809810.97463,216,215
1764809811.0006,216,215
1764809811.0265749,216,214
1764809811.052652,216,214
1764809811.0786786,216,215
1764809811.1049361,216,213
1764809811.1310573,216,213
1764809811.1570404,216,215
1764809811.183012,215,215
1764809811.2089853,216,215
1764809811.2349539,216,213
1764809811.2609713,215,214
1764809811.2869616,215,215
1764809811.3129416,215,216
1764809811.338911,215,214
1764809811.3648784,215,214
1764809811.3908463,216,213
1764809811.4168143,215,214
1764809811.4429193,215,214
1764809811.4690564,215,216
1764809811.495061,215,215
1764809811.521037,215,214
1764809811.5470083,214,213
1764809811.5729752,215,213
1764809811.5989447,215,214
1764809811.6249557,214,212
1764809811.6509264,214,212
1764809811.6769557,213,210
1764809811.7029333,214,211
1764809811.728903,213,210
1764809811.7548919,214,210
1764809811.7810798,213,210
