t,L,R
1764809794.0036361,133,169
1764809794.0303347,133,158
1764809794.0566213,132,153
1764809794.0830722,131,152
1764809794.1092978,131,152
1764809794.1354246,131,152
1764809794.1615045,132,152
1764809794.1875784,132,155
1764809794.2137449,132,155
1764809794.2398841,133,156
1764809794.266005,133,158
1764809794.2921004,134,158
1764809794.3182569,134,160
1764809794.3443556,135,161
1764809794.3704681,135,164
1764809794.3965673,135,161
1764809794.4226828,135,161
1764809794.4488041,134,160
1764809794.4749591,133,156
1764809794.5010598,132,154
1764809794.5272205,131,152
1764809794.5533204,131,151
1764809794.579484,131,151
1764809794.605743,132,151
1764809794.6318965,132,153
1764809794.6580331,132,154
1764809794.684135,132,153
1764809794.710246,132,152
1764809794.7363825,132,152
1764809794.7624874,131,153
1764809794.7885857,132,152
1764809794.8146813,131,153
1764809794.8408654,131,151
1764809794.8671284,131,151
1764809794.8932457,131,152
1764809794.919403,131,151
1764809794.9455574,131,152
1764809794.9716604,132,153
1764809794.997767,131,152
1764809795.0241008,132,152
