t,L,R
1764809804.9606633,240,206
1764809804.986963,240,213
1764809805.0130296,240,215
1764809805.0391457,239,240
1764809805.0652075,240,217
1764809805.0911927,240,216
1764809805.1171718,239,242
1764809805.1431422,240,217
1764809805.1691213,240,216
1764809805.1950939,240,214
1764809805.2210662,239,241
1764809805.2473636,240,216
1764809805.2733388,240,214
1764809805.2993262,239,242
1764809805.3252945,239,242
1764809805.3512685,240,218
1764809805.3773189,240,215
1764809805.4032953,240,214
1764809805.4292638,240,214
1764809805.4552965,239,241
1764809805.4813607,239,243
1764809805.5073388,240,217
1764809805.5333066,240,216
1764809805.5592806,240,214
1764809805.5852509,240,215
1764809805.6112883,239,240
1764809805.6372654,240,215
1764809805.6632657,240,215
1764809805.6892414,240,214
1764809805.7152107,239,241
1764809805.7411795,239,242
1764809805.7671456,240,217
1764809805.7931163,239,240
1764809805.8190873,239,242
1764809805.8450532,239,243
1764809805.8711653,240,216
1764809805.8971438,240,214
1764809805.9231112,240,215
1764809805.9490793,240,214
1764809805.9752853,240,213
